Element,Z,Vl,Pc,Pc18,Pr,Uo,Eg,Ip1,Ip2,Ea,Homo,Lumo,Ros,Rop,Rod,Ra,Rv,Rc,Plz,M,Mel,Boi,de,Zeff,Fus,Vap,Cap
Tl,81,27,3,13,6,5,2.04,589.4,1971,0.0916,-2.3692,2.6329,1.0974,1.5446,0.5904,1.48,1.5446,1.45,51.6,204.38,577,1746,11.85,4.02,4.27,162.1,0.129
Pb,82,28,4,14,6,4,2.33,715.6,1450.5,-0.7047,-3.496,2.5655,1.0396,1.4049,0.5676,1.47,1.4049,1.46,47.71,207.2,600.61,2022,11.34,4.43,4.77,179.4,0.129
Bi,83,29,5,15,6,3,2.02,703,1610,-1.5162,-4.5686,2.1526,0.9899,1.3017,0.5469,1.46,1.3017,1.48,50,208.9804,544.7,1837,9.78,4.39,10.9,151,0.122
Po,84,30,6,16,6,2,2,812.1,,-2.2911,-5.6192,3.6676,0.9462,1.2195,0.5281,,1.2195,1.4,46,209,527,1235,9.196,4.72,,60.3,
At,85,31,7,17,6,1,2.2,899.003,,-3.0973,-6.6636,4.1368,0.9072,1.1513,0.5109,,1.1513,1.5,43,210,575,610,6.35,,,,
Rn,86,32,8,18,6,0,2.2,1037,,4.1935,-7.7111,1.5865,0.872,1.0932,0.4951,1.45,1.0932,1.5,34.33,222,202,211.5,0.00973,5.33,2.89,16.4,0.094
Fr,87,1,1,1,,1,0.7,,,-0.5341,-2.1686,-0.266,,,,,,2.6,315.2,,,,,,,,
Ra,88,2,2,2,,0,0.9,,,1.1704,-3.2801,-1.1691,,,,,,2.21,242.8,,,,,4.36,,,
Ac,89,3,3,3,,9,1.1,,,,,,,,,,,2.15,203.3,,,,,4.99,,,0.12
Th,90,4,3,3,,8,1.3,,,,,,,,,,,2.06,203.3,,,,,4.68,15.65,543.92,0.113
Pa,91,5,3,3,,21,1.5,,,,,,,,,,,2,154.4,,,,,4.61,12.34,,
U,92,6,3,3,,20,1.38,,,,,,,,,,,1.96,127.8,,,,,4.67,15.48,477,0.116
